LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,llm_industry_label,llm_business_stage,llm_loan_backing_type,llm_risk_factors,llm_geo_context,llm_risk_summary,llm_risk_score
1000014003,ABC HOBBYCRAFT,EVANSVILLE,IN,47711,FIFTH THIRD BANK,OH,451120,28-Feb-97,1997,84,4,2.0,0,0,1,0,N,Y,,28-Feb-99,"$60,000.00 ",$0.00 ,P I F,$0.00 ,"$60,000.00 ","$48,000.00 ","Hobby, Toy, and Game Stores",new,SBA guaranteed,"new business, low documentation loan, small number of employees, rural location, no revolving line of credit","Evansville, IN, ZIP 47711","The business is a new small retail store with only 4 employees, located in a rural area. The loan is low documentation and not revolving, but it is substantially SBA guaranteed, which mitigates some risk. Overall, the newness and limited operational history increase default risk.",65
1000024006,LANDMARK BAR & GRILLE (THE),NEW PARIS,IN,46526,1ST SOURCE BANK,IN,722410,28-Feb-97,1997,60,2,2.0,0,0,1,0,N,Y,,31-May-97,"$40,000.00 ",$0.00 ,P I F,$0.00 ,"$40,000.00 ","$32,000.00 ",Full-Service Restaurants,new,SBA guaranteed,"new business, low documentation loan, small employee count, rural location","New Paris, IN (rural)","The business is a newly established full-service restaurant with only 2 employees, operating in a rural area. The loan is low documentation but has a strong SBA guarantee covering 80% of the loan amount. These factors indicate moderate risk due to business infancy and limited operational history, partially mitigated by SBA backing.",60
1000034009,"WHITLOCK DDS, TODD M.",BLOOMINGTON,IN,47401,GRANT COUNTY STATE BANK,IN,621210,28-Feb-97,1997,180,7,1.0,0,0,1,0,N,N,,31-Dec-97,"$287,000.00 ",$0.00 ,P I F,$0.00 ,"$287,000.00 ","$215,250.00 ",Offices of Dentists,existing,SBA guaranteed,"small employee count, long loan term, urban location","Bloomington, IN","Established dental practice with SBA-backed loan, moderate employee size, and urban location indicating stable operations but some risk due to small scale and long loan term.",40
1000044001,"BIG BUCKS PAWN & JEWELRY, LLC",BROKEN ARROW,OK,74012,1ST NATL BK & TR CO OF BROKEN,OK,0,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,Y,,30-Jun-97,"$35,000.00 ",$0.00 ,P I F,$0.00 ,"$35,000.00 ","$28,000.00 ",Pawn and Jewelry Retail,existing,SBA guaranteed,"low documentation loan, small number of employees, urban/rural code unknown, loan term 60 months","Broken Arrow, OK 74012","The business is an existing small pawn and jewelry retail with only 2 employees, operating in Broken Arrow, OK. The loan is SBA guaranteed which reduces risk, but the low documentation status and small employee base increase risk. The 60-month term is moderate. Overall, moderate risk due to limited business scale and documentation.",50
1000054004,"ANASTASIA CONFECTIONS, INC.",ORLANDO,FL,32801,FLORIDA BUS. DEVEL CORP,FL,0,28-Feb-97,1997,240,14,1.0,7,7,1,0,N,N,,14-May-97,"$229,000.00 ",$0.00 ,P I F,$0.00 ,"$229,000.00 ","$229,000.00 ",Unknown,existing,SBA guaranteed,"No NAICS code provided, Moderate employee count, Long loan term (240 months), Urban location","Orlando, FL",Established business with moderate size and a long-term SBA guaranteed loan in an urban area. Lack of industry classification adds some uncertainty.,35
1000084002,"B&T SCREW MACHINE COMPANY, INC",PLAINVILLE,CT,6062,"TD BANK, NATIONAL ASSOCIATION",DE,332721,28-Feb-97,1997,120,19,1.0,0,0,1,0,N,N,,30-Jun-97,"$517,000.00 ",$0.00 ,P I F,$0.00 ,"$517,000.00 ","$387,750.00 ",Machine Shops,existing,SBA guaranteed,"medium business size, long loan term, urban location","Plainville, CT","Established machine shop with moderate employee count and SBA-backed long-term loan, indicating moderate risk due to industry and loan size.",50
1000093009,MIDDLE ATLANTIC SPORTS CO INC,UNION,NJ,7083,WELLS FARGO BANK NATL ASSOC,SD,0,2-Jun-80,1980,45,45,2.0,0,0,0,0,N,N,24-Jun-91,22-Jul-80,"$600,000.00 ",$0.00 ,CHGOFF,"$208,959.00 ","$600,000.00 ","$499,998.00 ",Unknown,new,SBA guaranteed,"new business, large loan amount, urban location","Union, NJ","The borrower is a new business with no NAICS code provided, located in an urban area (Union, NJ). The loan is a large amount ($600,000) with a high SBA guarantee portion, which reduces lender risk. The business has 45 employees, indicating some operational scale despite being new. The loan is not a revolving line of credit and is fully documented, which lowers risk. Overall, the newness of the business and large loan size increase risk, but SBA backing and documentation mitigate it.",60
1000094005,WEAVER PRODUCTS,SUMMERFIELD,FL,34491,REGIONS BANK,AL,811118,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,30-Jun-98,"$45,000.00 ",$0.00 ,P I F,$0.00 ,"$45,000.00 ","$36,000.00 ",Automotive Repair and Maintenance,new,SBA guaranteed,"new business, single employee, low documentation loan, rural location","Summerfield, FL 34491","The borrower is a new, single-employee automotive repair business located in a rural area with a low documentation loan and SBA guarantee. These factors contribute to a higher risk profile due to limited operating history and documentation.",75
1000104006,TURTLE BEACH INN,PORT SAINT JOE,FL,32456,CENTENNIAL BANK,FL,721310,28-Feb-97,1997,297,2,2.0,0,0,1,0,N,N,,31-Jul-97,"$305,000.00 ",$0.00 ,P I F,$0.00 ,"$305,000.00 ","$228,750.00 ",Traveler Accommodation,new,SBA guaranteed,"new business, small employee count, long loan term, rural location","Port Saint Joe, FL, rural area","The business is a new small accommodation provider with only 2 employees, located in a rural area. The loan is SBA guaranteed, which mitigates some risk, but the long loan term and new business status increase default risk.",65
1000124001,INTEXT BUILDING SYS LLC,GLASTONBURY,CT,6073,WEBSTER BANK NATL ASSOC,CT,0,28-Feb-97,1997,84,3,2.0,0,0,1,0,N,Y,,30-Apr-97,"$70,000.00 ",$0.00 ,P I F,$0.00 ,"$70,000.00 ","$56,000.00 ",Unknown,new,SBA guaranteed,"new business, low documentation loan, small number of employees, no revolving line of credit, unknown industry, urban location","Glastonbury, CT","The borrower is a new small business with only three employees and low documentation on the loan, increasing uncertainty. The loan is SBA guaranteed which mitigates some risk. The industry is unknown, adding to risk assessment difficulty. The urban location in Glastonbury, CT provides moderate economic stability.",70
